ts,are_stop_signs_for_ego,is_stopped,prop_eval
0,False,True,True
1,False,True,True
2,False,True,True
3,False,True,True
4,False,True,True
5,False,True,True
6,False,True,True
7,False,True,True
8,False,True,True
9,False,True,True
10,False,True,True
11,False,False,True
12,False,False,True
13,False,False,True
14,False,False,True
15,False,False,True
16,False,False,True
17,False,False,True
18,False,False,True
19,False,False,True
20,False,False,True
21,False,False,True
22,False,False,True
23,False,False,True
24,False,False,True
25,False,False,True
26,False,False,True
27,False,False,True
28,False,False,True
29,False,False,True
30,False,False,True
31,False,False,True
32,False,False,True
33,False,False,True
34,False,False,True
35,False,False,True
36,False,False,True
37,False,False,True
38,False,False,True
39,False,False,True
40,False,False,True
41,False,False,True
42,False,False,True
43,False,False,True
44,False,False,True
45,False,False,True
46,False,False,True
47,False,False,True
48,False,False,True
49,False,False,True
50,False,False,True
51,False,False,True
52,False,False,True
53,False,False,True
54,False,False,True
55,False,False,True
56,False,False,True
57,False,False,True
58,False,False,True
59,False,False,True
60,False,False,True
61,False,False,True
62,False,False,True
63,False,False,True
64,False,True,True
65,False,True,True
66,False,True,True
67,False,True,True
68,False,True,True
69,False,False,True
70,False,False,True
71,False,False,True
72,False,False,True
73,False,False,True
74,False,False,True
75,False,False,True
76,False,False,True
77,False,False,True
78,True,False,True
79,True,False,True
80,True,False,True
81,True,False,True
82,True,False,True
83,True,False,True
84,True,False,True
85,True,False,True
86,True,False,True
87,True,False,True
88,True,False,True
89,True,False,True
90,True,False,True
91,True,False,True
92,True,False,True
93,True,False,True
94,True,False,True
95,True,False,True
96,True,False,True
97,True,False,True
98,True,False,True
99,True,False,True
100,True,False,True
101,True,False,True
102,True,False,True
103,True,False,True
104,True,False,True
105,True,False,True
106,True,False,True
107,True,False,True
108,True,False,True
109,True,False,True
110,True,False,True
111,True,False,True
112,True,False,True
113,True,False,True
114,True,False,True
115,True,False,True
116,True,False,True
117,True,False,True
118,True,False,True
119,True,False,True
120,True,False,True
121,True,False,True
122,True,False,True
123,True,False,True
124,True,False,True
125,True,False,True
126,True,False,True
127,True,False,True
128,True,False,True
129,True,False,True
130,True,False,True
131,True,False,True
132,True,False,True
133,True,False,True
134,True,False,True
135,True,False,True
136,True,False,True
137,True,False,True
138,True,False,True
139,True,False,True
140,False,False,False
141,False,False,False
142,False,False,False
143,False,False,False
144,False,False,False
145,False,False,False
146,False,False,False
147,False,False,False
148,False,False,False
149,False,False,False
150,False,False,False
151,False,False,False
152,False,False,False
153,False,False,False
154,False,False,False
155,False,False,False
156,False,False,False
157,False,False,False
158,False,False,False
159,False,False,False
160,False,False,False
161,False,False,False
162,False,False,False
163,False,False,False
164,False,False,False
165,False,False,False
166,False,False,False
167,False,False,False
168,False,False,False
169,False,False,False
170,False,False,False
171,False,False,False
172,False,False,False
173,False,False,False
174,False,False,False
175,False,False,False
176,False,False,False
177,False,False,False
178,False,False,False
179,False,False,False
180,False,False,False
181,False,False,False
182,False,False,False
183,False,False,False
184,False,False,False
185,False,False,False
186,False,False,False
187,False,False,False
188,False,True,False
189,False,True,False
190,False,True,False
191,False,True,False
192,False,True,False
193,False,True,False
194,False,True,False
195,False,True,False
196,False,True,False
197,False,True,False
198,False,True,False
199,False,True,False
200,False,True,False
201,False,True,False
202,False,True,False
203,False,True,False
204,False,True,False
205,False,True,False
206,False,True,False
207,False,True,False
208,False,True,False
209,False,True,False
210,False,True,False
211,False,True,False
212,False,True,False
213,False,True,False
214,False,True,False
215,False,True,False
216,False,True,False
217,False,True,False
218,False,True,False
219,False,True,False
220,False,True,False
221,False,True,False
222,False,True,False
223,False,True,False
224,False,True,False
225,False,True,False
226,False,True,False
227,False,True,False
228,False,True,False
229,False,True,False
230,False,True,False
231,False,True,False
232,False,True,False
233,False,True,False
234,False,True,False
235,False,True,False
236,False,True,False
237,False,True,False
238,False,True,False
239,False,True,False
240,False,True,False
241,False,True,False
242,False,True,False
243,False,True,False
244,False,True,False
245,False,True,False
246,False,True,False
247,False,True,False
248,False,True,False
249,False,True,False
250,False,True,False
251,False,True,False
252,False,True,False
253,False,True,False
254,False,True,False
255,False,True,False
256,False,True,False
257,False,True,False
258,False,True,False
259,False,True,False
260,False,True,False
261,False,True,False
262,False,True,False
263,False,True,False
264,False,True,False
265,False,True,False
266,False,True,False
267,False,True,False
268,False,True,False
269,False,True,False
270,False,True,False
271,False,True,False
272,False,True,False
273,False,True,False
274,False,True,False
275,False,True,False
276,False,True,False
277,False,True,False
278,False,True,False
279,False,True,False
280,False,True,False
281,False,True,False
282,False,False,False
283,False,False,False
284,False,False,False
285,False,False,False
286,False,False,False
287,False,False,False
288,False,False,False
289,False,False,False
290,False,False,False
291,False,False,False
292,False,False,False
293,False,False,False
294,False,False,False
295,False,False,False
296,False,False,False
297,False,False,False
298,False,False,False
299,False,False,False
300,False,False,False
301,False,False,False
302,False,False,False
303,False,False,False
304,False,False,False
305,False,False,False
306,False,False,False
307,False,False,False
308,False,False,False
309,False,False,False
310,False,False,False
311,False,False,False
312,False,False,False
313,False,False,False
314,False,False,False
315,False,False,False
316,False,False,False
317,False,False,False
318,False,False,False
319,False,False,False
320,False,False,False
321,False,False,False
322,False,True,False
323,False,True,False
324,False,True,False
325,False,True,False
326,False,True,False
327,False,True,False
328,False,True,False
329,False,True,False
330,False,True,False
331,False,True,False
332,False,True,False
333,False,True,False
334,False,True,False
335,False,True,False
336,False,True,False
337,False,True,False
338,False,True,False
339,False,True,False
340,False,True,False
341,False,True,False
342,False,True,False
343,False,True,False
344,False,True,False
345,False,True,False
346,False,True,False
347,False,True,False
348,False,True,False
349,False,True,False
350,False,True,False
351,False,True,False
352,False,True,False
353,False,True,False
354,False,True,False
355,False,True,False
356,False,True,False
357,False,True,False
358,False,True,False
359,False,True,False
360,False,True,False
361,False,True,False
362,False,True,False
363,False,True,False
364,False,True,False
365,False,True,False
366,False,True,False
367,False,True,False
368,False,True,False
369,False,True,False
370,False,True,False
371,False,True,False
372,False,True,False
373,False,True,False
374,False,True,False
375,False,True,False
376,False,True,False
377,False,True,False
378,False,True,False
379,False,True,False
380,False,True,False
381,False,True,False
382,False,True,False
383,False,True,False
384,False,True,False
385,False,True,False
386,False,True,False
387,False,True,False
388,False,True,False
389,False,True,False
390,False,True,False
391,False,True,False
392,False,True,False
393,False,True,False
394,False,True,False
395,False,True,False
396,False,True,False
397,False,True,False
398,False,True,False
399,False,True,False
400,False,True,False
401,False,True,False
402,False,True,False
403,False,True,False
404,False,False,False
405,False,False,False
406,False,False,False
407,False,False,False
408,False,False,False
409,False,False,False
410,False,False,False
411,False,False,False
412,False,False,False
413,False,False,False
414,False,False,False
415,False,False,False
416,False,False,False
417,False,False,False
418,False,False,False
419,False,False,False
420,False,False,False
421,False,False,False
422,False,False,False
423,False,False,False
424,False,False,False
425,False,False,False
426,False,False,False
427,False,True,False
428,False,True,False
