ts,are_entities_within_7m,are_red_traffic_lights_for_ego,are_stop_signs_for_ego,is_stopped,prop_eval
0,False,False,False,True,True
1,False,False,False,False,True
2,False,False,False,False,True
3,False,False,False,False,True
4,False,False,False,False,True
5,False,False,False,False,True
6,False,False,False,False,True
7,False,False,False,False,True
8,False,False,False,False,True
9,False,True,False,False,True
10,False,True,False,False,True
11,False,True,False,False,True
12,False,True,False,False,True
13,False,True,False,False,True
14,False,True,False,False,True
15,False,True,False,False,True
16,False,True,False,False,True
17,False,True,False,False,True
18,False,True,False,False,True
19,False,True,False,False,True
20,False,True,False,False,True
21,False,True,False,False,True
22,False,True,False,False,True
23,False,False,False,False,True
24,False,False,False,False,True
25,False,False,False,False,True
26,False,False,False,False,True
27,False,False,False,False,True
28,False,False,False,False,True
29,False,False,False,False,True
30,False,False,False,False,True
31,False,False,False,False,True
32,False,False,False,False,True
33,True,False,False,False,True
34,False,False,False,False,True
35,False,False,False,False,True
36,False,False,False,False,True
37,False,False,False,False,True
38,False,False,False,False,True
39,False,False,False,False,True
40,False,False,False,False,True
41,False,False,False,False,True
42,False,False,False,False,True
43,False,False,False,False,True
44,False,False,False,False,True
45,False,False,False,False,True
46,False,False,False,False,True
47,False,False,False,False,True
48,False,False,False,False,True
49,False,False,False,False,True
50,False,False,False,False,True
51,False,False,False,False,True
52,False,False,False,False,True
53,False,False,False,False,True
54,False,False,False,False,True
55,False,False,False,False,True
56,False,False,False,False,True
57,False,False,False,False,True
58,False,False,False,False,True
59,False,False,False,False,True
60,False,False,False,False,True
61,False,False,False,False,True
62,False,False,False,False,True
63,False,False,False,False,True
64,False,False,False,False,True
65,False,False,False,False,True
66,False,False,True,False,True
67,False,False,True,False,True
68,False,False,True,False,True
69,False,False,True,False,True
70,False,False,True,False,True
71,False,False,True,False,True
72,False,False,True,False,True
73,False,False,True,False,True
74,False,False,True,False,True
75,False,False,True,False,True
76,False,False,True,False,True
77,False,False,True,False,True
78,False,False,True,False,True
79,False,False,True,False,True
80,False,False,True,False,True
81,False,False,True,False,True
82,False,False,True,False,True
83,False,False,True,False,True
84,False,False,True,False,True
85,False,False,True,False,True
86,False,False,True,False,True
87,False,False,True,False,True
88,False,False,True,False,True
89,False,False,True,False,True
90,False,False,True,False,True
91,False,False,True,False,True
92,False,False,True,False,True
93,False,False,True,False,True
94,False,False,True,False,True
95,False,False,True,False,True
96,False,False,True,False,True
97,False,False,True,False,True
98,False,False,True,False,True
99,False,False,True,False,True
100,False,False,True,True,True
101,False,False,True,False,True
102,False,False,True,False,True
103,False,False,True,False,True
104,False,False,True,False,True
105,False,False,True,False,True
106,False,False,True,False,True
107,False,False,True,False,True
108,False,False,True,False,True
109,False,False,True,False,True
110,False,False,True,False,True
111,False,False,True,False,True
112,False,False,True,False,True
113,False,False,True,False,True
114,False,False,True,False,True
115,False,False,True,False,True
116,False,False,True,False,True
117,False,False,False,False,True
118,False,False,False,False,True
119,False,False,False,False,True
120,False,False,False,False,True
121,False,False,False,False,True
122,False,False,False,False,True
123,False,False,False,False,True
124,False,False,False,False,True
125,False,False,False,False,True
126,False,False,False,False,True
127,False,False,False,False,True
128,False,False,False,False,True
129,False,False,False,False,True
130,False,False,False,False,True
131,False,False,False,False,True
132,False,False,False,False,True
133,False,False,False,False,True
134,False,False,False,False,True
135,False,False,False,False,True
