ts,is_only_in_junction,prop_eval
0,False,True
1,False,True
2,False,True
3,False,True
4,False,True
5,False,True
6,False,True
7,False,True
8,False,True
9,False,True
10,False,True
11,False,True
12,False,True
13,False,True
14,False,True
15,False,True
16,False,True
17,False,True
18,False,True
19,False,True
20,False,True
21,False,True
22,False,True
23,False,True
24,False,True
25,False,True
26,False,True
27,False,True
28,False,True
29,False,True
30,False,True
31,False,True
32,True,True
33,True,True
34,True,True
35,True,True
36,True,True
37,False,True
38,False,True
39,False,True
40,False,True
41,False,True
42,False,True
43,False,True
44,False,True
45,False,True
46,False,True
47,False,True
48,False,True
49,False,True
50,False,True
51,False,True
52,False,True
53,False,True
54,False,True
55,False,True
56,False,True
57,False,True
58,False,True
59,False,True
60,False,True
61,False,True
62,False,True
63,False,True
64,False,True
65,False,True
66,False,True
67,False,True
68,False,True
69,False,True
70,False,True
71,False,True
72,False,True
73,False,True
74,False,True
75,False,True
76,False,True
77,False,True
78,False,True
79,False,True
80,False,True
81,False,True
82,False,True
83,False,True
84,False,True
85,False,True
86,False,True
87,False,True
88,False,True
89,False,True
90,False,True
91,False,True
92,False,True
93,False,True
94,False,True
95,False,True
96,False,True
97,False,True
98,False,True
99,False,True
100,False,True
101,False,True
102,False,True
103,False,True
104,False,True
105,False,True
106,False,True
107,False,True
108,False,True
109,False,True
110,False,True
111,False,True
112,False,True
113,True,True
114,True,True
115,True,True
116,True,True
117,True,True
118,True,True
119,False,True
120,False,True
121,False,True
122,False,True
123,False,True
124,False,True
125,False,True
126,False,True
127,False,True
128,False,True
129,False,True
130,False,True
131,False,True
132,False,True
133,False,True
134,False,True
135,False,True
136,False,True
137,False,True
138,False,True
139,False,True
140,False,True
141,False,True
142,False,True
143,False,True
144,False,True
145,False,True
146,False,True
147,False,True
148,False,True
149,False,True
150,False,True
151,False,True
152,False,True
153,False,True
154,False,True
155,False,True
156,False,True
157,False,True
158,False,True
159,False,True
160,False,True
161,False,True
162,False,True
163,False,True
164,False,True
165,False,True
166,False,True
167,False,True
168,False,True
169,False,True
170,False,True
171,False,True
172,False,True
173,False,True
174,False,True
175,False,True
176,False,True
177,False,True
178,False,True
179,False,True
180,False,True
181,False,True
182,False,True
183,True,True
184,True,True
185,True,True
186,True,True
187,True,True
188,True,True
189,False,True
190,False,True
191,False,True
192,False,True
193,False,True
194,False,True
195,False,True
196,False,True
197,False,True
198,False,True
199,False,True
200,False,True
201,False,True
202,False,True
203,False,True
204,False,True
205,False,True
206,False,True
207,False,True
208,False,True
209,False,True
210,False,True
211,False,True
212,False,True
213,False,True
214,False,True
215,False,True
216,False,True
217,False,True
218,False,True
219,False,True
220,True,True
221,True,True
222,True,True
223,True,True
224,True,True
225,True,True
226,True,True
227,True,True
228,True,True
229,False,True
230,False,True
231,False,True
232,False,True
233,False,True
234,False,True
235,False,True
236,False,True
237,False,True
238,False,True
239,False,True
240,False,True
241,False,True
242,False,True
243,False,True
244,False,True
245,False,True
246,False,True
247,False,True
248,False,True
249,False,True
250,False,True
251,False,True
252,False,True
253,False,True
254,False,True
255,False,True
256,False,True
257,False,True
258,False,True
259,False,True
260,False,True
261,False,True
262,False,True
263,False,True
264,False,True
265,False,True
266,False,True
267,False,True
268,False,True
269,False,True
270,False,True
271,False,True
272,False,True
273,False,True
274,False,True
275,False,True
276,False,True
277,False,True
278,False,True
279,False,True
280,False,True
281,False,True
282,False,True
283,False,True
284,False,True
285,False,True
286,False,True
287,False,True
288,False,True
289,False,True
290,False,True
291,False,True
292,False,True
293,False,True
294,False,True
295,False,True
296,False,True
297,False,True
298,False,True
299,False,True
300,False,True
301,False,True
302,False,True
303,False,True
304,False,True
305,False,True
306,False,True
307,False,True
308,False,True
309,False,True
310,False,True
311,False,True
312,False,True
313,False,True
314,False,True
315,False,True
316,False,True
317,False,True
318,False,True
319,False,True
320,False,True
321,False,True
322,False,True
323,False,True
324,False,True
325,False,True
326,False,True
327,False,True
328,False,True
329,False,True
330,False,True
331,False,True
332,False,True
333,False,True
334,False,True
335,False,True
336,False,True
337,False,True
338,False,True
339,False,True
340,True,True
341,True,True
342,True,True
343,False,True
344,False,True
345,False,True
346,False,True
347,False,True
348,False,True
349,False,True
350,False,True
351,False,True
352,False,True
353,False,True
354,False,True
355,False,True
356,False,True
357,False,True
358,False,True
359,False,True
360,False,True
361,False,True
362,False,True
363,False,True
364,False,True
365,False,True
366,False,True
367,False,True
368,False,True
369,False,True
370,False,True
371,False,True
372,False,True
373,False,True
374,False,True
375,False,True
376,False,True
377,False,True
378,False,True
379,False,True
380,False,True
381,False,True
382,False,True
383,False,True
384,False,True
385,False,True
386,False,True
387,False,True
388,False,True
389,False,True
390,False,True
391,False,True
392,False,True
393,False,True
394,False,True
395,False,True
396,False,True
397,False,True
398,False,True
399,False,True
400,False,True
401,False,True
402,False,True
403,False,True
404,False,True
405,False,True
406,False,True
407,False,True
408,False,True
409,False,True
410,False,True
411,False,True
412,False,True
413,False,True
414,False,True
415,False,True
416,False,True
417,False,True
418,False,True
419,False,True
420,False,True
421,False,True
422,False,True
423,False,True
424,False,True
425,False,True
426,True,True
427,True,True
428,True,True
429,True,True
430,True,True
431,True,True
432,True,True
433,True,True
434,True,True
435,True,False
436,True,False
437,False,False
438,False,False
439,False,False
440,False,False
441,False,False
442,False,False
443,False,False
444,False,False
445,False,False
446,False,False
447,False,False
448,False,False
449,False,False
450,False,False
451,False,False
452,False,False
453,False,False
454,False,False
455,False,False
456,False,False
457,False,False
458,False,False
459,False,False
460,False,False
461,False,False
462,False,False
463,False,False
464,False,False
465,False,False
466,False,False
467,False,False
468,False,False
469,False,False
470,False,False
471,False,False
472,False,False
473,False,False
474,False,False
475,False,False
476,False,False
477,False,False
478,False,False
479,False,False
480,False,False
481,False,False
482,False,False
483,False,False
484,False,False
485,False,False
486,False,False
487,False,False
488,False,False
489,False,False
490,False,False
491,False,False
492,False,False
493,False,False
494,False,False
495,False,False
496,False,False
497,False,False
498,False,False
499,False,False
500,False,False
501,False,False
502,False,False
503,False,False
504,False,False
505,False,False
506,False,False
507,False,False
508,False,False
509,False,False
510,False,False
511,False,False
512,False,False
513,False,False
514,False,False
515,False,False
516,False,False
517,False,False
518,False,False
519,False,False
520,False,False
521,False,False
522,False,False
523,False,False
524,False,False
525,False,False
526,False,False
527,False,False
528,False,False
529,False,False
530,False,False
531,False,False
532,False,False
533,False,False
534,False,False
535,False,False
536,False,False
537,False,False
538,False,False
539,False,False
540,False,False
541,False,False
542,False,False
543,False,False
544,False,False
545,False,False
546,False,False
547,False,False
548,False,False
549,False,False
550,False,False
551,False,False
552,False,False
553,True,False
554,True,False
555,True,False
556,True,False
557,False,False
558,False,False
559,False,False
560,False,False
561,False,False
562,False,False
563,False,False
564,False,False
565,False,False
566,False,False
567,False,False
568,False,False
569,False,False
570,False,False
571,False,False
572,False,False
573,False,False
574,False,False
575,False,False
576,False,False
577,False,False
578,False,False
579,False,False
580,False,False
581,False,False
582,False,False
583,False,False
584,False,False
585,False,False
586,False,False
587,False,False
588,False,False
589,False,False
590,False,False
591,False,False
592,False,False
593,False,False
594,False,False
595,False,False
596,False,False
597,False,False
598,False,False
599,False,False
600,False,False
601,False,False
602,False,False
603,False,False
604,False,False
605,False,False
606,False,False
607,False,False
608,False,False
609,False,False
610,False,False
611,False,False
612,False,False
613,False,False
614,False,False
615,False,False
616,False,False
617,False,False
618,False,False
619,False,False
620,False,False
621,False,False
622,False,False
623,False,False
624,False,False
625,False,False
626,False,False
627,False,False
628,False,False
629,False,False
630,False,False
631,False,False
632,False,False
633,False,False
634,False,False
635,False,False
636,False,False
637,False,False
638,True,False
639,True,False
640,True,False
641,True,False
642,True,False
643,True,False
644,True,False
645,True,False
646,True,False
647,True,False
648,False,False
649,False,False
650,False,False
651,False,False
652,False,False
653,False,False
654,False,False
655,False,False
656,False,False
657,False,False
658,False,False
