ts,are_entities_super_near,are_entities_near_coll,is_throttle_not_positive,prop_eval
0,False,False,True,True
1,False,False,False,True
2,False,False,False,True
3,False,False,False,True
4,False,False,False,True
5,False,False,False,True
6,False,False,False,True
7,False,False,False,True
8,False,False,False,True
9,False,False,False,True
10,False,False,False,True
11,False,False,False,True
12,False,False,False,True
13,False,False,False,True
14,False,False,False,True
15,False,False,False,True
16,False,False,False,True
17,False,False,False,True
18,False,False,False,True
19,False,False,False,True
20,False,False,False,True
21,False,False,False,True
22,False,False,False,True
23,False,False,False,True
24,False,False,False,True
25,False,False,False,True
26,False,False,False,True
27,False,False,False,True
28,False,False,False,True
29,False,False,False,True
30,False,False,False,True
31,False,False,False,True
32,False,False,False,True
33,False,False,False,True
34,False,False,False,True
35,False,False,False,True
36,False,False,False,True
37,False,False,False,True
38,False,False,False,True
39,False,False,False,True
40,False,False,False,True
41,False,False,False,True
42,False,False,False,True
43,False,False,False,True
44,False,False,False,True
45,False,False,False,True
46,False,False,False,True
47,False,False,False,True
48,False,False,False,True
49,False,False,False,True
50,False,False,False,True
51,False,False,False,True
52,False,False,False,True
53,False,False,False,True
54,False,False,False,True
55,False,False,False,True
56,False,False,False,True
57,False,False,False,True
58,False,False,False,True
59,False,False,False,True
60,False,False,False,True
61,False,False,True,True
62,False,False,False,True
63,False,False,False,True
64,False,False,True,True
65,False,False,False,True
66,False,False,False,True
67,False,False,False,True
68,False,False,False,True
69,False,False,False,True
70,False,False,True,True
71,False,False,False,True
72,False,False,False,True
73,False,False,False,True
74,False,False,False,True
75,False,False,False,True
76,False,False,False,True
77,False,False,False,True
78,False,False,False,True
79,False,False,False,True
80,False,False,False,True
81,False,False,False,True
82,False,False,False,True
83,False,False,False,True
84,False,False,False,True
85,False,False,True,True
86,False,False,True,True
87,False,False,False,True
88,False,False,False,True
89,False,False,False,True
90,False,False,False,True
91,False,False,False,True
92,False,False,False,True
93,False,False,False,True
94,False,False,True,True
95,False,False,True,True
96,False,False,True,True
97,False,False,False,True
98,False,False,True,True
99,False,False,True,True
100,False,False,True,True
101,False,False,False,True
102,False,False,True,True
103,False,False,True,True
104,False,False,True,True
105,False,False,True,True
106,False,False,True,True
107,False,False,True,True
108,False,False,True,True
109,False,False,True,True
110,False,False,True,True
111,False,False,False,True
112,False,False,False,True
113,False,False,True,True
114,False,False,True,True
115,False,False,True,True
116,False,False,True,True
117,False,False,True,True
118,False,False,True,True
119,False,False,True,True
120,False,False,True,True
121,False,False,True,True
122,False,False,True,True
123,False,False,True,True
124,False,False,True,True
125,False,False,True,True
126,False,False,True,True
127,False,False,True,True
128,False,False,True,True
129,False,False,True,True
130,False,False,True,True
131,False,False,True,True
132,False,False,True,True
133,False,False,True,True
134,False,False,True,True
135,False,False,True,True
136,False,False,True,True
137,False,False,True,True
138,False,False,True,True
139,False,False,True,True
140,False,False,True,True
141,False,False,True,True
142,False,False,True,True
143,False,False,True,True
144,False,False,True,True
145,False,False,False,True
146,False,False,False,True
147,False,False,False,True
148,False,False,False,True
149,False,False,False,True
150,False,False,False,True
151,False,False,False,True
152,False,False,False,True
153,False,False,False,True
154,False,False,False,True
155,False,False,False,True
156,False,False,False,True
157,False,False,False,True
158,False,False,False,True
159,False,False,False,True
160,False,False,False,True
161,False,False,False,True
162,False,False,False,True
163,False,False,False,True
164,False,False,False,True
165,False,False,False,True
166,False,False,True,True
167,False,False,False,True
168,False,False,False,True
169,False,False,True,True
170,False,False,False,True
171,False,False,False,True
172,False,False,True,True
173,False,False,True,True
174,False,False,True,True
175,False,False,False,True
176,False,False,False,True
177,False,False,False,True
178,False,False,True,True
179,False,False,False,True
180,False,False,False,True
181,False,False,False,True
182,False,False,True,True
183,False,False,False,True
184,False,False,True,True
185,False,False,False,True
186,False,False,False,True
187,False,False,True,True
188,False,False,True,True
189,False,False,True,True
190,False,False,True,True
191,False,False,True,True
192,False,False,True,True
193,False,False,True,True
194,False,False,True,True
195,False,False,True,True
196,False,False,True,True
197,False,False,False,True
198,False,False,False,True
199,False,False,True,True
200,False,False,True,True
201,False,False,True,True
202,False,False,True,True
203,False,False,True,True
204,False,False,True,True
205,False,False,True,True
206,False,False,True,True
207,False,False,True,True
208,False,False,True,True
209,False,False,True,True
210,False,False,True,True
211,False,False,True,True
212,False,False,True,True
213,False,False,True,True
214,False,False,True,True
215,False,False,True,True
216,False,False,True,True
217,False,False,True,True
218,False,False,True,True
219,False,False,True,True
220,False,False,True,True
221,False,False,True,True
222,False,False,True,True
223,False,False,True,True
224,False,False,True,True
225,False,False,True,True
226,False,False,True,True
227,False,False,True,True
228,False,False,True,True
229,False,False,True,True
230,False,False,True,True
231,False,False,True,True
232,False,False,True,True
233,False,False,True,True
234,False,False,True,True
235,False,False,True,True
236,False,False,True,True
237,False,False,True,True
238,False,False,False,True
239,False,False,False,True
240,False,False,True,True
241,False,False,False,True
242,False,False,False,True
243,False,False,True,True
244,False,False,False,True
245,False,False,False,True
246,False,False,False,True
247,False,False,False,True
248,False,False,False,True
249,False,False,True,True
250,False,False,False,True
251,False,False,False,True
252,False,False,False,True
253,False,False,False,True
254,False,False,False,True
255,False,False,False,True
256,False,False,False,True
257,False,False,False,True
258,False,False,False,True
259,False,False,False,True
260,False,False,True,True
261,False,False,True,True
262,False,False,True,True
263,False,False,True,True
264,False,False,True,True
265,False,False,True,True
266,False,False,True,True
267,False,False,True,True
268,False,False,True,True
269,False,False,True,True
270,False,False,False,True
271,False,False,False,True
272,False,False,False,True
273,False,False,False,True
274,False,False,False,True
275,False,False,False,True
276,False,False,False,True
277,False,False,False,True
278,False,False,False,True
279,False,False,True,True
280,False,False,False,True
281,False,False,False,True
282,False,False,False,True
283,False,False,False,True
284,False,False,False,True
285,False,False,True,True
286,False,False,False,True
287,False,False,False,True
288,False,False,False,True
289,False,False,True,True
290,False,False,False,True
291,False,False,True,True
292,False,False,True,True
293,False,False,False,True
294,False,False,False,True
295,False,False,False,True
296,False,False,True,True
297,False,False,True,True
298,False,False,True,True
299,False,False,True,True
300,False,False,True,True
301,False,False,True,True
302,False,False,True,True
303,False,False,True,True
304,False,False,True,True
305,False,False,True,True
306,False,False,True,True
307,False,False,True,True
308,False,False,True,True
309,False,False,True,True
310,False,False,True,True
311,False,False,True,True
312,False,False,True,True
313,False,False,True,True
314,False,False,True,True
315,False,False,True,True
316,False,False,True,True
317,False,False,True,True
318,False,False,True,True
319,False,False,True,True
320,False,False,True,True
321,False,False,True,True
322,False,False,False,True
323,False,False,True,True
324,False,False,False,True
325,False,False,True,True
326,False,False,False,True
327,False,False,False,True
328,False,False,False,True
329,False,False,False,True
330,False,False,False,True
331,False,False,False,True
332,False,False,False,True
333,False,False,True,True
334,False,False,False,True
335,False,False,False,True
336,False,False,False,True
337,False,False,True,True
338,False,False,False,True
339,False,False,False,True
340,False,False,False,True
341,False,False,False,True
342,False,False,False,True
343,False,False,False,True
344,False,False,False,True
345,False,False,False,True
346,False,False,True,True
347,False,False,False,True
348,False,False,False,True
349,False,False,True,True
350,False,False,True,True
351,False,False,True,True
352,False,False,True,True
353,False,False,True,True
354,False,False,True,True
355,False,False,True,True
356,False,False,True,True
357,False,False,True,True
358,False,False,True,True
359,False,False,True,True
360,False,False,True,True
361,False,False,False,True
362,False,False,False,True
363,False,False,True,True
364,False,False,True,True
365,False,False,True,True
366,False,False,True,True
367,False,False,True,True
368,False,False,True,True
369,False,False,True,True
370,False,False,True,True
371,False,False,True,True
372,False,False,True,True
373,False,False,False,True
374,False,False,True,True
